session,block,trial,stimulus_group,delay,feedback_optimal,stimulus_left,stimulus_middle,stimulus_right,optimal_action,feedback_left,feedback_middle,feedback_right,feedback_common,valence,appearance,stimulus_group_id,optimal_side,n_stimuli,optimal_right,present_pavlovian,n_groups,early_stop
wk0,1,12,2,3,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,3,2,left,1,,false,8,false
wk0,1,13,4,0,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,1,4,middle,1,,false,8,false
wk0,1,14,3,4,1.0,subway_1.jpg,subway_1.jpg,subway_1.jpg,3,0.01,0.01,1.0,true,1,2,3,right,1,,false,8,false
wk0,1,15,2,3,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,4,2,left,1,,false,8,false
wk0,1,16,5,0,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,1,5,right,1,,false,8,false
wk0,1,17,2,2,0.5,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,0.5,0.01,0.01,true,1,5,2,left,1,,false,8,false
wk0,1,18,3,4,1.0,subway_1.jpg,subway_1.jpg,subway_1.jpg,3,0.01,0.01,1.0,true,1,3,3,right,1,,false,8,false
wk0,1,19,1,8,1.0,hedge_1.jpg,hedge_1.jpg,hedge_1.jpg,2,0.01,1.0,0.01,true,1,9,1,middle,1,,false,8,false
wk0,1,20,2,3,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,6,2,left,1,,false,8,false
wk0,1,21,4,8,0.5,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,0.5,0.01,true,1,2,4,middle,1,,false,8,false
wk0,1,22,5,6,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,2,5,right,1,,false,8,false
wk0,1,23,3,5,1.0,subway_1.jpg,subway_1.jpg,subway_1.jpg,3,0.01,0.01,1.0,true,1,4,3,right,1,,false,8,false
wk0,1,24,1,5,1.0,hedge_1.jpg,hedge_1.jpg,hedge_1.jpg,2,0.01,1.0,0.01,true,1,10,1,middle,1,,false,8,false
wk0,1,25,5,3,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,3,5,right,1,,false,8,false
wk0,1,26,2,6,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,7,2,left,1,,false,8,false
wk0,1,27,4,6,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,3,4,middle,1,,false,8,false
wk0,1,28,3,5,1.0,subway_1.jpg,subway_1.jpg,subway_1.jpg,3,0.01,0.01,1.0,true,1,5,3,right,1,,false,8,false
wk0,1,29,1,5,1.0,hedge_1.jpg,hedge_1.jpg,hedge_1.jpg,2,0.01,1.0,0.01,true,1,11,1,middle,1,,false,8,false
wk0,1,30,2,4,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,8,2,left,1,,false,8,false
wk0,1,31,2,1,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,9,2,left,1,,false,8,false
wk0,1,32,5,7,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,4,5,right,1,,false,8,false
wk0,1,33,5,1,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,5,5,right,1,,false,8,false
wk0,1,34,3,6,0.5,subway_1.jpg,subway_1.jpg,subway_1.jpg,3,0.01,0.01,0.5,true,1,6,3,right,1,,false,8,false
wk0,1,35,4,8,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,4,4,middle,1,,false,8,false
wk0,1,36,1,7,1.0,hedge_1.jpg,hedge_1.jpg,hedge_1.jpg,2,0.01,1.0,0.01,true,1,12,1,middle,1,,false,8,false
wk0,1,37,1,1,1.0,hedge_1.jpg,hedge_1.jpg,hedge_1.jpg,2,0.01,1.0,0.01,true,1,13,1,middle,1,,false,8,false
wk0,1,38,2,7,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,10,2,left,1,,false,8,false
wk0,1,39,3,5,1.0,subway_1.jpg,subway_1.jpg,subway_1.jpg,3,0.01,0.01,1.0,true,1,7,3,right,1,,false,8,false
wk0,1,40,5,7,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,6,5,right,1,,false,8,false
wk0,1,41,3,2,0.5,subway_1.jpg,subway_1.jpg,subway_1.jpg,3,0.01,0.01,0.5,true,1,8,3,right,1,,false,8,false
wk0,1,42,1,5,1.0,hedge_1.jpg,hedge_1.jpg,hedge_1.jpg,2,0.01,1.0,0.01,true,1,14,1,middle,1,,false,8,false
wk0,1,43,4,8,0.5,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,0.5,0.01,true,1,5,4,middle,1,,false,8,false
wk0,1,44,3,3,1.0,subway_1.jpg,subway_1.jpg,subway_1.jpg,3,0.01,0.01,1.0,true,1,9,3,right,1,,false,8,false
wk0,1,45,1,3,1.0,hedge_1.jpg,hedge_1.jpg,hedge_1.jpg,2,0.01,1.0,0.01,true,1,15,1,middle,1,,false,8,false
wk0,1,46,2,8,0.5,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,0.5,0.01,0.01,true,1,11,2,left,1,,false,8,false
wk0,1,47,5,7,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,7,5,right,1,,false,8,false
wk0,1,48,1,3,1.0,hedge_1.jpg,hedge_1.jpg,hedge_1.jpg,2,0.01,1.0,0.01,true,1,16,1,middle,1,,false,8,false
wk0,1,49,2,3,0.5,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,0.5,0.01,0.01,true,1,12,2,left,1,,false,8,false
wk0,1,50,5,3,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,8,5,right,1,,false,8,false
wk0,1,51,3,7,1.0,subway_1.jpg,subway_1.jpg,subway_1.jpg,3,0.01,0.01,1.0,true,1,10,3,right,1,,false,8,false
wk0,1,52,4,9,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,6,4,middle,1,,false,8,false
wk0,1,53,5,3,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,9,5,right,1,,false,8,false
wk0,1,54,3,3,0.5,subway_1.jpg,subway_1.jpg,subway_1.jpg,3,0.01,0.01,0.5,true,1,11,3,right,1,,false,8,false
wk0,1,55,2,6,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,13,2,left,1,,false,8,false
wk0,1,56,1,8,1.0,hedge_1.jpg,hedge_1.jpg,hedge_1.jpg,2,0.01,1.0,0.01,true,1,17,1,middle,1,,false,8,false
wk0,1,57,4,5,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,7,4,middle,1,,false,8,false
wk0,1,58,1,2,1.0,hedge_1.jpg,hedge_1.jpg,hedge_1.jpg,2,0.01,1.0,0.01,true,1,18,1,middle,1,,false,8,false
wk0,1,59,4,2,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,8,4,middle,1,,false,8,false
wk0,1,60,3,6,1.0,subway_1.jpg,subway_1.jpg,subway_1.jpg,3,0.01,0.01,1.0,true,1,12,3,right,1,,false,8,false
wk0,1,61,5,8,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,10,5,right,1,,false,8,false
wk0,1,62,5,1,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,11,5,right,1,,false,8,false
wk0,1,63,1,5,1.0,hedge_1.jpg,hedge_1.jpg,hedge_1.jpg,2,0.01,1.0,0.01,true,1,19,1,middle,1,,false,8,false
wk0,1,64,2,9,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,14,2,left,1,,false,8,false
wk0,1,65,4,6,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,9,4,middle,1,,false,8,false
wk0,1,66,5,4,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,12,5,right,1,,false,8,false
wk0,1,67,3,7,1.0,subway_1.jpg,subway_1.jpg,subway_1.jpg,3,0.01,0.01,1.0,true,1,13,3,right,1,,false,8,false
wk0,1,68,1,5,0.5,hedge_1.jpg,hedge_1.jpg,hedge_1.jpg,2,0.01,0.5,0.01,true,1,20,1,middle,1,,false,8,false
wk0,1,69,6,0,1.0,canister_1.jpg,canister_1.jpg,canister_1.jpg,1,1.0,0.01,0.01,true,1,1,6,left,1,,false,8,false
wk0,1,70,6,1,1.0,canister_1.jpg,canister_1.jpg,canister_1.jpg,1,1.0,0.01,0.01,true,1,2,6,left,1,,false,8,false
wk0,1,71,4,6,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,10,4,middle,1,,false,8,false
wk0,1,72,3,5,1.0,subway_1.jpg,subway_1.jpg,subway_1.jpg,3,0.01,0.01,1.0,true,1,14,3,right,1,,false,8,false
wk0,1,73,2,9,0.5,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,0.5,0.01,0.01,true,1,15,2,left,1,,false,8,false
wk0,1,74,5,8,0.5,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,0.5,true,1,13,5,right,1,,false,8,false
wk0,1,75,2,2,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,16,2,left,1,,false,8,false
wk0,1,76,2,1,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,17,2,left,1,,false,8,false
wk0,1,77,5,3,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,14,5,right,1,,false,8,false
wk0,1,78,4,7,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,11,4,middle,1,,false,8,false
wk0,1,79,5,2,0.5,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,0.5,true,1,15,5,right,1,,false,8,false
wk0,1,80,6,10,0.5,canister_1.jpg,canister_1.jpg,canister_1.jpg,1,0.5,0.01,0.01,true,1,3,6,left,1,,false,8,false
wk0,1,81,6,1,1.0,canister_1.jpg,canister_1.jpg,canister_1.jpg,1,1.0,0.01,0.01,true,1,4,6,left,1,,false,8,false
wk0,1,82,4,4,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,12,4,middle,1,,false,8,false
wk0,1,83,2,7,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,18,2,left,1,,false,8,false
wk0,1,84,4,2,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,13,4,middle,1,,false,8,false
wk0,1,85,5,6,0.5,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,0.5,true,1,16,5,right,1,,false,8,false
wk0,1,86,6,5,1.0,canister_1.jpg,canister_1.jpg,canister_1.jpg,1,1.0,0.01,0.01,true,1,5,6,left,1,,false,8,false
wk0,1,87,2,4,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,19,2,left,1,,false,8,false
wk0,1,88,6,2,1.0,canister_1.jpg,canister_1.jpg,canister_1.jpg,1,1.0,0.01,0.01,true,1,6,6,left,1,,false,8,false
wk0,1,89,5,4,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,17,5,right,1,,false,8,false
wk0,1,90,4,6,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,14,4,middle,1,,false,8,false
wk0,1,91,2,4,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,1,1.0,0.01,0.01,true,1,20,2,left,1,,false,8,false
wk0,1,92,7,0,1.0,candle_1.jpg,candle_1.jpg,candle_1.jpg,1,1.0,0.01,0.01,true,1,1,7,left,1,,false,8,false
wk0,1,93,6,5,0.5,canister_1.jpg,canister_1.jpg,canister_1.jpg,1,0.5,0.01,0.01,true,1,7,6,left,1,,false,8,false
wk0,1,94,4,4,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,15,4,middle,1,,false,8,false
wk0,1,95,6,2,1.0,canister_1.jpg,canister_1.jpg,canister_1.jpg,1,1.0,0.01,0.01,true,1,8,6,left,1,,false,8,false
wk0,1,96,5,7,0.5,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,0.5,true,1,18,5,right,1,,false,8,false
wk0,1,97,4,3,1.0,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,1.0,0.01,true,1,16,4,middle,1,,false,8,false
wk0,1,98,6,3,1.0,canister_1.jpg,canister_1.jpg,canister_1.jpg,1,1.0,0.01,0.01,true,1,9,6,left,1,,false,8,false
wk0,1,99,5,3,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,19,5,right,1,,false,8,false
wk0,1,100,7,8,1.0,candle_1.jpg,candle_1.jpg,candle_1.jpg,1,1.0,0.01,0.01,true,1,2,7,left,1,,false,8,false
wk0,1,101,4,4,0.5,bun_1.jpg,bun_1.jpg,bun_1.jpg,2,0.01,0.5,0.01,true,1,17,4,middle,1,,false,8,false
wk0,1,102,5,3,1.0,pug_1.jpg,pug_1.jpg,pug_1.jpg,3,0.01,0.01,1.0,true,1,20,5,right,1,,false,8,false
wk0,1,103,8,0,1.0,rooster_1.jpg,rooster_1.jpg,rooster_1.jpg,3,0.01,0.01,1.0,true,1,1,8,right,1,,false,8,false
wk0,1,104,6,6,1.0,canister_1.jpg,canister_1.jpg,canister_1.jpg,1,1.0,0.01,0.01,true,1,10,6,left,1,,false,8,false
wk0,1,105,8,2,1.0,rooster_1.jpg,rooster_1.jpg,rooster_1.jpg,3,0.01,0.01,1.0,true,1,2,8,right,1,,false,8,false
wk0,1,106,7,6,0.5,candle_1.jpg,candle_1.jpg,candle_1.jpg,1,0.5,0.01,0.01,true,1,3,7,left,1,,false,8,false
wk0,1,107,8,2,0.5,rooster_1.jpg,rooster_1.jpg,rooster_1.jpg,3,0.01,0.01,0.5,true,1,3,8,right,1,,false,8,false
wk0,1,108,7,2,1.0,candle_1.jpg,candle_1.jpg,candle_1.jpg,1,1.0,0.01,0.01,true,1,4,7,left,1,,false,8,false
wk2,1,1,1,1,0.5,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,0.5,0.01,true,1,1,1,middle,1,,false,8,false
wk2,1,2,1,1,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,2,1,middle,1,,false,8,false
wk2,1,3,1,1,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,3,1,middle,1,,false,8,false
wk2,1,4,1,1,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,4,1,middle,1,,false,8,false
wk2,1,5,1,1,0.5,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,0.5,0.01,true,1,5,1,middle,1,,false,8,false
wk2,1,6,1,1,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,6,1,middle,1,,false,8,false
wk2,1,7,2,0,1.0,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,1.0,true,1,1,2,right,1,,false,8,false
wk2,1,8,1,2,0.5,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,0.5,0.01,true,1,7,1,middle,1,,false,8,false
wk2,1,9,2,2,1.0,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,1.0,true,1,2,2,right,1,,false,8,false
wk2,1,10,3,0,1.0,nail_1.jpg,nail_1.jpg,nail_1.jpg,3,0.01,0.01,1.0,true,1,1,3,right,1,,false,8,false
wk2,1,11,1,3,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,8,1,middle,1,,false,8,false
wk2,1,12,2,3,1.0,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,1.0,true,1,3,2,right,1,,false,8,false
wk2,1,13,4,0,1.0,throne_1.jpg,throne_1.jpg,throne_1.jpg,2,0.01,1.0,0.01,true,1,1,4,middle,1,,false,8,false
wk2,1,14,3,4,1.0,nail_1.jpg,nail_1.jpg,nail_1.jpg,3,0.01,0.01,1.0,true,1,2,3,right,1,,false,8,false
wk2,1,15,2,3,1.0,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,1.0,true,1,4,2,right,1,,false,8,false
wk2,1,16,5,0,1.0,dolphin_1.jpg,dolphin_1.jpg,dolphin_1.jpg,1,1.0,0.01,0.01,true,1,1,5,left,1,,false,8,false
wk2,1,17,2,2,0.5,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,0.5,true,1,5,2,right,1,,false,8,false
wk2,1,18,3,4,1.0,nail_1.jpg,nail_1.jpg,nail_1.jpg,3,0.01,0.01,1.0,true,1,3,3,right,1,,false,8,false
wk2,1,19,1,8,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,9,1,middle,1,,false,8,false
wk2,1,20,2,3,1.0,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,1.0,true,1,6,2,right,1,,false,8,false
wk2,1,21,4,8,0.5,throne_1.jpg,throne_1.jpg,throne_1.jpg,2,0.01,0.5,0.01,true,1,2,4,middle,1,,false,8,false
wk2,1,22,5,6,1.0,dolphin_1.jpg,dolphin_1.jpg,dolphin_1.jpg,1,1.0,0.01,0.01,true,1,2,5,left,1,,false,8,false
wk2,1,23,3,5,1.0,nail_1.jpg,nail_1.jpg,nail_1.jpg,3,0.01,0.01,1.0,true,1,4,3,right,1,,false,8,false
wk2,1,24,1,5,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,10,1,middle,1,,false,8,false
wk2,1,25,5,3,1.0,dolphin_1.jpg,dolphin_1.jpg,dolphin_1.jpg,1,1.0,0.01,0.01,true,1,3,5,left,1,,false,8,false
wk2,1,26,2,6,1.0,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,1.0,true,1,7,2,right,1,,false,8,false
wk2,1,27,4,6,1.0,throne_1.jpg,throne_1.jpg,throne_1.jpg,2,0.01,1.0,0.01,true,1,3,4,middle,1,,false,8,false
wk2,1,28,3,5,1.0,nail_1.jpg,nail_1.jpg,nail_1.jpg,3,0.01,0.01,1.0,true,1,5,3,right,1,,false,8,false
wk2,1,29,1,5,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,11,1,middle,1,,false,8,false
wk2,1,30,2,4,1.0,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,1.0,true,1,8,2,right,1,,false,8,false
wk2,1,31,2,1,1.0,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,1.0,true,1,9,2,right,1,,false,8,false
wk2,1,32,5,7,1.0,dolphin_1.jpg,dolphin_1.jpg,dolphin_1.jpg,1,1.0,0.01,0.01,true,1,4,5,left,1,,false,8,false
wk2,1,33,5,1,1.0,dolphin_1.jpg,dolphin_1.jpg,dolphin_1.jpg,1,1.0,0.01,0.01,true,1,5,5,left,1,,false,8,false
wk2,1,34,3,6,0.5,nail_1.jpg,nail_1.jpg,nail_1.jpg,3,0.01,0.01,0.5,true,1,6,3,right,1,,false,8,false
wk2,1,35,4,8,1.0,throne_1.jpg,throne_1.jpg,throne_1.jpg,2,0.01,1.0,0.01,true,1,4,4,middle,1,,false,8,false
wk2,1,36,1,7,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,12,1,middle,1,,false,8,false
wk2,1,37,1,1,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,13,1,middle,1,,false,8,false
wk2,1,38,2,7,1.0,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,1.0,true,1,10,2,right,1,,false,8,false
wk2,1,39,3,5,1.0,nail_1.jpg,nail_1.jpg,nail_1.jpg,3,0.01,0.01,1.0,true,1,7,3,right,1,,false,8,false
wk2,1,40,5,7,1.0,dolphin_1.jpg,dolphin_1.jpg,dolphin_1.jpg,1,1.0,0.01,0.01,true,1,6,5,left,1,,false,8,false
wk2,1,41,3,2,0.5,nail_1.jpg,nail_1.jpg,nail_1.jpg,3,0.01,0.01,0.5,true,1,8,3,right,1,,false,8,false
wk2,1,42,1,5,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,14,1,middle,1,,false,8,false
wk2,1,43,4,8,0.5,throne_1.jpg,throne_1.jpg,throne_1.jpg,2,0.01,0.5,0.01,true,1,5,4,middle,1,,false,8,false
wk2,1,44,3,3,1.0,nail_1.jpg,nail_1.jpg,nail_1.jpg,3,0.01,0.01,1.0,true,1,9,3,right,1,,false,8,false
wk2,1,45,1,3,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,15,1,middle,1,,false,8,false
wk2,1,46,2,8,0.5,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,0.5,true,1,11,2,right,1,,false,8,false
wk2,1,47,5,7,1.0,dolphin_1.jpg,dolphin_1.jpg,dolphin_1.jpg,1,1.0,0.01,0.01,true,1,7,5,left,1,,false,8,false
wk2,1,48,1,3,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,16,1,middle,1,,false,8,false
wk2,1,49,2,3,0.5,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,0.5,true,1,12,2,right,1,,false,8,false
wk2,1,50,5,3,1.0,dolphin_1.jpg,dolphin_1.jpg,dolphin_1.jpg,1,1.0,0.01,0.01,true,1,8,5,left,1,,false,8,false
wk2,1,51,3,7,1.0,nail_1.jpg,nail_1.jpg,nail_1.jpg,3,0.01,0.01,1.0,true,1,10,3,right,1,,false,8,false
wk2,1,52,4,9,1.0,throne_1.jpg,throne_1.jpg,throne_1.jpg,2,0.01,1.0,0.01,true,1,6,4,middle,1,,false,8,false
wk2,1,53,5,3,1.0,dolphin_1.jpg,dolphin_1.jpg,dolphin_1.jpg,1,1.0,0.01,0.01,true,1,9,5,left,1,,false,8,false
wk2,1,54,3,3,0.5,nail_1.jpg,nail_1.jpg,nail_1.jpg,3,0.01,0.01,0.5,true,1,11,3,right,1,,false,8,false
wk2,1,55,2,6,1.0,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,1.0,true,1,13,2,right,1,,false,8,false
wk2,1,56,1,8,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,17,1,middle,1,,false,8,false
wk2,1,57,4,5,1.0,throne_1.jpg,throne_1.jpg,throne_1.jpg,2,0.01,1.0,0.01,true,1,7,4,middle,1,,false,8,false
wk2,1,58,1,2,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,18,1,middle,1,,false,8,false
wk2,1,59,4,2,1.0,throne_1.jpg,throne_1.jpg,throne_1.jpg,2,0.01,1.0,0.01,true,1,8,4,middle,1,,false,8,false
wk2,1,60,3,6,1.0,nail_1.jpg,nail_1.jpg,nail_1.jpg,3,0.01,0.01,1.0,true,1,12,3,right,1,,false,8,false
wk2,1,61,5,8,1.0,dolphin_1.jpg,dolphin_1.jpg,dolphin_1.jpg,1,1.0,0.01,0.01,true,1,10,5,left,1,,false,8,false
wk2,1,62,5,1,1.0,dolphin_1.jpg,dolphin_1.jpg,dolphin_1.jpg,1,1.0,0.01,0.01,true,1,11,5,left,1,,false,8,false
wk2,1,63,1,5,1.0,eggplant_1.jpg,eggplant_1.jpg,eggplant_1.jpg,2,0.01,1.0,0.01,true,1,19,1,middle,1,,false,8,false
wk2,1,64,2,9,1.0,baseball_bat_1.jpg,baseball_bat_1.jpg,baseball_bat_1.jpg,3,0.01,0.01,1.0,true,1,14,2,right,1,,false,8,false
wk2,1,65,4,6,1.0,throne_1.jpg,throne_1.jpg,throne_1.jpg,2,0.01,1.0,0.01,true,1,9,4,middle,1,,false,8,false
